1370000000011802080, 1782501889265, 992314, 0.0922823, 0
1370000000011802081, 1782501889265, 992313, 0.05, 0
1370000000011802082, 1782501889265, 992269, 0.134663, 0
1370000000011802083, 1782501889265, 992269, 0.062649, 0
1370000000011802147, 1782501949893, 993688, 0.00084232, 1
1370000000011802281, 1782502071408, 993893, 1.75e-05, 1
1370000000011802375, 1782502160992, 993530, 0.00087063, 1
1370000000011802393, 1782502177786, 992449, 0.00191611, 0
1370000000011802566, 1782502324555, 993616, 0.0110222, 0
1370000000011803026, 1782502774567, 992581, 7.364e-05, 0
1370000000011803071, 1782502814247, 993548, 0.00733967, 1
1370000000011803377, 1782503106161, 992634, 5.44e-05, 1
1370000000011803413, 1782503144556, 992682, 0.00201474, 1
1370000000011803522, 1782503242072, 992582, 0.00010074, 1
1370000000011803529, 1782503250199, 992582, 5.44e-05, 1
1370000000011803530, 1782503250991, 992581, 0.0059712, 0
1370000000011803616, 1782503352029, 991779, 5.444e-05, 1
1370000000011803733, 1782503521803, 992324, 1.007e-05, 1
1370000000011803768, 1782503555850, 991676, 0.00321929, 0
1370000000011803777, 1782503563704, 991676, 0.0168029, 0
1370000000011803938, 1782503717604, 990990, 2.038e-05, 0
1370000000011804028, 1782503800509, 990990, 3.411e-05, 0
1370000000011804029, 1782503800509, 990810, 0.003498, 0
1370000000011804087, 1782503855170, 991416, 0.00031268, 1
1370000000011804267, 1782504017933, 991409, 0.00319858, 1
1370000000011804268, 1782504017933, 993171, 0.0175, 1
1370000000011804269, 1782504017933, 993446, 0.00507459, 1
1370000000011804270, 1782504017947, 993446, 0.0257732, 1
1370000000011804272, 1782504018138, 993444, 0.0257732, 1
1370000000011804273, 1782504018140, 993444, 0.0351126, 1
1370000000011804522, 1782504243335, 991759, 0.00973018, 1
1370000000011804644, 1782504359313, 989911, 5.758e-05, 0
1370000000011804692, 1782504407767, 988915, 0.00533215, 0
1370000000011804827, 1782504532890, 990545, 3.432e-05, 1
1370000000011804844, 1782504552365, 990355, 1.262e-05, 1
1370000000011804898, 1782504607588, 989215, 0.0100928, 1
1370000000011804995, 1782504691171, 988645, 6.422e-05, 1
1370000000011805098, 1782504778868, 988993, 0.00252775, 1
1370000000011805101, 1782504782116, 988978, 0.00383532, 1
1370000000011805178, 1782504856131, 988452, 0.00033498, 0
1370000000011805186, 1782504862071, 988452, 0.00378008, 0
1370000000011805426, 1782505095705, 989989, 0.0005495, 1
1370000000011805443, 1782505106982, 989989, 5.454e-05, 1
1370000000011805490, 1782505156211, 990189, 0.00151486, 1
1370000000011805608, 1782505266368, 989988, 1.822e-05, 0
1370000000011805609, 1782505266368, 989539, 0.016503, 0
1370000000011805741, 1782505374709, 988988, 5.46e-05, 0
1370000000011805742, 1782505374709, 988706, 0.0057854, 0
1370000000011805747, 1782505383367, 989036, 0.0019433, 1
1370000000011806021, 1782505641215, 988472, 0.0101251, 0
1370000000011806024, 1782505647746, 989240, 0.00050543, 1
1370000000011806129, 1782505739979, 989229, 0.00012, 0
1370000000011806130, 1782505739979, 989044, 0.00060791, 0
1370000000011806903, 1782506530945, 989297, 7.741e-05, 1
1370000000011807068, 1782506719892, 987399, 0.00941487, 0
1370000000011807477, 1782507124119, 991100, 1.008e-05, 1
1370000000011807488, 1782507135941, 991090, 0.00242157, 1
1370000000011807676, 1782507312262, 988959, 0.0062, 0
1370000000011807680, 1782507313395, 988958, 0.006, 0
1370000000011807749, 1782507377854, 989176, 0.00102215, 0
1370000000011807824, 1782507437917, 988796, 0.0021001, 0
1370000000011807879, 1782507489813, 988617, 0.00049475, 0
1370000000011807890, 1782507500265, 988141, 8.387e-05, 0
1370000000011808014, 1782507605630, 988324, 0.00050148, 0
1370000000011808051, 1782507640953, 989722, 0.00020712, 1
1370000000011808099, 1782507684532, 989526, 1.263e-05, 1
1370000000011808109, 1782507692986, 989524, 0.00082549, 1
1370000000011808714, 1782508279498, 988475, 0.00198251, 0
1370000000011809008, 1782508578936, 989796, 0.00919381, 1
1370000000011809554, 1782509128253, 990524, 0.00194676, 1
1370000000011809882, 1782509450395, 990532, 0.0170363, 1
1370000000011809969, 1782509534857, 990532, 0.0185637, 1
1370000000011810095, 1782509652779, 991144, 0.00268734, 0
1370000000011810303, 1782509855684, 992925, 4.028e-05, 1
1370000000011810443, 1782510004032, 991178, 0.005, 0
1370000000011810640, 1782510198515, 993505, 0.00471778, 0
1370000000011811133, 1782510682137, 993737, 0.0020126, 1
1370000000011811176, 1782510726328, 993722, 1.006e-05, 1
1370000000011811940, 1782511476668, 991313, 3.591e-05, 1
1370000000011811994, 1782511521853, 990906, 5.247e-05, 1
1370000000011812215, 1782511736317, 992259, 2.519e-05, 1
1370000000011812240, 1782511756386, 992257, 1.259e-05, 1
1370000000011812588, 1782512103228, 992740, 2.643e-05, 1
1370000000011812614, 1782512126952, 991828, 0.00085444, 0
1370000000011812755, 1782512270794, 994122, 0.00111, 1
1370000000011812756, 1782512270794, 994123, 0.00039886, 1
1370000000011812785, 1782512293627, 994060, 0.00025149, 1
1370000000011813014, 1782512529239, 993654, 0.00010063, 1
1370000000011813171, 1782512688854, 991783, 0.00905835, 0
1370000000011813448, 1782512974582, 993237, 0.00111, 1
1370000000011813449, 1782512974582, 993238, 0.00127614, 1
1370000000011813511, 1782513034631, 992830, 0.00104524, 1
1370000000011813551, 1782513067792, 990899, 0.00578042, 0
1370000000011814172, 1782513704978, 992299, 0.010831, 0
1370000000011814732, 1782514268835, 995080, 0.00096575, 1
1370000000011814780, 1782514318061, 995070, 1.004e-05, 1
1370000000011815341, 1782514888438, 995332, 1.255e-05, 1
1370000000011815638, 1782515186618, 996363, 3.412e-05, 1
1370000000011815714, 1782515258205, 996321, 2.509e-05, 1
1370000000011816274, 1782515827324, 995267, 0.0002014, 1
